rank,cluster_id,cluster_label,product,customer_count,ticket_count_total,jira_ticket_count,account_active_arr_total,open_count,open_ratio,rank_score,priority_label,priority_reasoning,cluster_description,representative_examples,customer_names,request_ids
40,SEM-0087,[IDT] — Repository of all the recons with time stamp,IDT,1,1,0,14980000.0,1,1.0,0.2574,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Zepto). ARR at risk: ₹14,980,000. Open tickets: 1/1. Key themes from customer descriptions: users, run, again, enable, repository, all, reconciliations, along. Most representative complaint: ""Enable the users to have a repository of all the reconciliations run along with date and time stamp so that the users does have to run the recon again and again and wait for 20-30 minutes for the reconciliation result.""",Enable the users to have a repository of all the reconciliations run along with date and time stamp so that the users does have to run the recon again and again and wait for 20-30...,Zepto,1035306
41,SEM-0002,[IDT] — Group ID locking,IDT,1,1,0,14900000.0,1,1.0,0.2571,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Trent Hypermarket Private Limited). ARR at risk: ₹14,900,000. Open tickets: 1/1. Key themes from customer descriptions: group, allowed, ids, same, should, observed, scenario, where. Most representative complaint: ""We observed scenario where group IDs were deleted for certain number of transactions and team had to rework on the same. We request for locking of group IDs so that once entered by the user, no one is allowed to delete the same. Any user who is willing to add group ID should be allowed but deletion...""",We observed scenario where group IDs were deleted for certain number of transactions and team had to rework on the same. We request for locking of group IDs so that once entered by...,Trent Hypermarket Private Limited,1071346
42,SEM-0050,[IDT] — PR Documents coming in Individual Error Report but missing in Bulk...,IDT,1,1,0,14859210.0,1,1.0,0.257,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (VIP INDUSTRIES LIMITED). ARR at risk: ₹14,859,210. Open tickets: 1/1. Key themes from customer descriptions: report, individual, bulk, documents, coming, but, missing, reports. Most representative complaint: ""PR Documents coming in Individual Error Report but missing in Bulk Error Report. Individual error report & bulk error reports attached.""",PR Documents coming in Individual Error Report but missing in Bulk Error Report. Individual error report & bulk error reports attached.,VIP INDUSTRIES LIMITED,1050892
43,SEM-0001,[IDT] — Filing status of Quarterly filers,IDT,1,1,0,12511575.0,1,1.0,0.2487,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (ZETWERK MANUFACTURING BUSINESSES PRIVATE LIMITED). ARR at risk: ₹12,511,575. Open tickets: 1/1. Key themes from customer descriptions: implement, logic, where, filing, last, month, quarter, automatically. Most representative complaint: ""Implement logic where filing the last month of a quarter automatically marks the first two months as filed (Y); they currently show as ""N.""""","Implement logic where filing the last month of a quarter automatically marks the first two months as filed (Y); they currently show as ""N.""",ZETWERK MANUFACTURING BUSINESSES PRIVATE LIMITED,1059861
44,SEM-0004,[IDT] — GSTR-1A Download,IDT,1,1,0,12511575.0,1,1.0,0.2487,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (ZETWERK MANUFACTURING BUSINESSES PRIVATE LIMITED). ARR at risk: ₹12,511,575. Open tickets: 1/1. Key themes from customer descriptions: ability, download, filed, gstr, data. Most representative complaint: ""Ability to download filed GSTR-1A data.""",Ability to download filed GSTR-1A data.,ZETWERK MANUFACTURING BUSINESSES PRIVATE LIMITED,1059868
45,SEM-0075,[IDT] — Reconciliation Report,IDT,1,1,0,12511575.0,1,1.0,0.2487,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (ZETWERK MANUFACTURING BUSINESSES PRIVATE LIMITED). ARR at risk: ₹12,511,575. Open tickets: 1/1. Key themes from customer descriptions: gstr, new, report, reconciliation. Most representative complaint: ""New report for GSTR-1 vs GSTR-7 reconciliation.""",New report for GSTR-1 vs GSTR-7 reconciliation.,ZETWERK MANUFACTURING BUSINESSES PRIVATE LIMITED,1059869
46,SEM-0102,[IDT] — GST Filing Tracker Enhancement,IDT,1,1,0,12511575.0,1,1.0,0.2487,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (ZETWERK MANUFACTURING BUSINESSES PRIVATE LIMITED). ARR at risk: ₹12,511,575. Open tickets: 1/1. Key themes from customer descriptions: cancelled, gstins, should, appear, applicable, instead, currently, showing. Most representative complaint: ""Cancelled GSTINs should appear as ""Not Applicable"" instead of currently showing in the tracker as “Not Filed.”""","Cancelled GSTINs should appear as ""Not Applicable"" instead of currently showing in the tracker as “Not Filed.”",ZETWERK MANUFACTURING BUSINESSES PRIVATE LIMITED,1059865
47,SEM-0038,"[IDT] — Voucher date column in 2A v/s PR, 2B v/s PR Report",IDT,1,1,0,12342800.0,1,1.0,0.2481,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (VIACOM 18 MEDIA PRIVATE LIMITED). ARR at risk: ₹12,342,800. Open tickets: 1/1. Key themes from customer descriptions: reconciliation, report, client, needs, voucher, date, column. Most representative complaint: ""In reconciliation 2A v/s PR, 2B v/s PR report, client needs voucher date column.""","In reconciliation 2A v/s PR, 2B v/s PR report, client needs voucher date column.",VIACOM 18 MEDIA PRIVATE LIMITED,1060581
48,SEM-0063,[IDT] — Consolidated file instead of split files,IDT,1,1,0,11750000.0,1,1.0,0.246,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (EUREKA FORBES LIMITED). ARR at risk: ₹11,750,000. Open tickets: 1/1. Key themes from customer descriptions: recon, report, split, based, match, status, because, docs. Most representative complaint: ""The 2B recon report is split based on match status because the docs count exceeds 5,00,000. The client wants to have a single file instead of multiple files.""","The 2B recon report is split based on match status because the docs count exceeds 5,00,000. The client wants to have a single file instead of multiple files.",EUREKA FORBES LIMITED,1040496
49,SEM-0021,[IDT] — Feature request : Data Overview | Import History,IDT,1,1,0,10581250.0,1,1.0,0.2419,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (HAVMOR ICE CREAM PRIVATE LIMITED). ARR at risk: ₹10,581,250. Open tickets: 1/1. Key themes from customer descriptions: fix, duplicates, action, same, any, what, errors, layer. Most representative complaint: ""Fix duplicates layer : If the user click on fix duplicates on the tool, takes the action (Skip/Overwrite/Merge), the same is done and if any other user wants to check what action was taken, then the same is not visible. Fix errors: Errors fixed directly on the UI are not maintained in the error repo...""","Fix duplicates layer : If the user click on fix duplicates on the tool, takes the action (Skip/Overwrite/Merge), the same is done and if any other user wants to check what action w...",HAVMOR ICE CREAM PRIVATE LIMITED,1062931
50,SEM-0104,[IDT] — GSTR-1 filing date required in IMS vs PR recon report,IDT,1,1,0,10581250.0,1,1.0,0.2419,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (HAVMOR ICE CREAM PRIVATE LIMITED). ARR at risk: ₹10,581,250. Open tickets: 1/1. Key themes from customer descriptions: gstr, filing, date, required, ims, recon, report. Most representative complaint: ""GSTR-1 filing date required in IMS vs PR recon report""",GSTR-1 filing date required in IMS vs PR recon report,HAVMOR ICE CREAM PRIVATE LIMITED,1043165
51,SEM-0009,[IDT] — Feature Request - Provide a summary of the Tax values of all the li...,IDT,1,1,0,10117950.0,1,1.0,0.2403,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (SRF LIMITED). ARR at risk: ₹10,117,950. Open tickets: 1/1. Key themes from customer descriptions: value, taxable, tax, values, summary, rows, doc, processed. Most representative complaint: ""Feature Request - Provide a summary of the document, taxable and tax values of all the line items processed over the SaaS Platform. Rows processed - Doc. Value | Taxable Value | Tax Values Rows with no error - Doc. Value | Taxable Value | Tax Values Rows with errors - Doc. Value | Taxable Value | Ta...""","Feature Request - Provide a summary of the document, taxable and tax values of all the line items processed over the SaaS Platform. Rows processed - Doc. Value | Taxable Value | Ta...",SRF LIMITED,1046630
52,SEM-0089,[IDT] — Feature Request - ISD Document ingestion via Purchase register for...,IDT,1,1,0,10117950.0,1,1.0,0.2403,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (SRF LIMITED). ARR at risk: ₹10,117,950. Open tickets: 1/1. Key themes from customer descriptions: feature, isd, document, ingestion, via, purchase, register, reconciliation. Most representative complaint: ""Feature Request - ISD Document ingestion via Purchase register for reconciliation""",Feature Request - ISD Document ingestion via Purchase register for reconciliation,SRF LIMITED,1076262
53,SEM-0093,[IDT] — Feature Request - Provide a report of documents still forming part...,IDT,1,1,0,10117950.0,1,1.0,0.2403,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (SRF LIMITED). ARR at risk: ₹10,117,950. Open tickets: 1/1. Key themes from customer descriptions: feature, provide, report, documents, still, forming, part, 4b2. Most representative complaint: ""Feature Request - Provide a report of documents still forming part of 4B2 or it got exhausted in 4D1.""",Feature Request - Provide a report of documents still forming part of 4B2 or it got exhausted in 4D1.,SRF LIMITED,1076265
54,SEM-0044,[IDT] — Option of Advance Amendment as Document Type using CT Sales Template,IDT,1,2,0,1020000.0,2,1.0,0.2309,Medium,,"Requirement area: [IDT] General Request. Impact: 2 tickets from 1 customer (Indian Health Organisation Private Limited). ARR at risk: ₹1,020,000. Open tickets: 2/2. Key themes from customer descriptions: template, cleartax, they, document, type, sales, data, client. Most representative complaint: ""The client has requested that the ClearTax Sales template support the ‘Advance Adjustment Amendment’ document type so they can ingest this data directly through the CT template. At present, the Sales template does not contain the required headers or configuration for this document type, which preven...""","Currently, we do not support ‘Advance Amendment’ as a document type in the ClearTax template, as the CT Sales template does not contain the relevant headers required for this data.... | The client has requested that the ClearTax Sales template support the ‘Advance Adjustment Amendment’ document type so they can ingest this data directly through the CT template. At...",Indian Health Organisation Private Limited,"1061396, 1061408"
55,SEM-0034,[IDT] — Feature Request for Reject Action in GSTR 2B vs PR Reconciliation,IDT,1,1,0,6575699.0,1,1.0,0.2278,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Grasim Industries Limited). ARR at risk: ₹6,575,699. Open tickets: 1/1. Key themes from customer descriptions: action, reject, month, excel, report, reconciliation, module, when. Most representative complaint: ""In the 2B vs PR reconciliation module, when a Reject action is taken, the corresponding reject month is not reflected in the Excel report. However, for the Claim action, the action month is properly captured and displayed in the report (Excel screenshot attached for reference).""","In the 2B vs PR reconciliation module, when a Reject action is taken, the corresponding reject month is not reflected in the Excel report. However, for the Claim action, the action...",Grasim Industries Limited,1082783
56,SEM-0051,[IDT] — Feature Request for GSTR 2B vs PR Reconciliation,IDT,1,1,0,6575699.0,1,1.0,0.2278,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Grasim Industries Limited). ARR at risk: ₹6,575,699. Open tickets: 1/1. Key themes from customer descriptions: invoices, client, would, like, single, button, when, clicked. Most representative complaint: ""Client would like a single button that, when clicked, displays both all pending invoices, and Current month “No Action” invoices on one consolidated page.""","Client would like a single button that, when clicked, displays both all pending invoices, and Current month “No Action” invoices on one consolidated page.",Grasim Industries Limited,1082781
57,SEM-0084,[IDT] — Feature request to enable searching for multiple document numbers i...,IDT,1,1,0,6575699.0,1,1.0,0.2278,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Grasim Industries Limited). ARR at risk: ₹6,575,699. Open tickets: 1/1. Key themes from customer descriptions: document, feature, enable, searching, multiple, numbers, number, filter. Most representative complaint: ""Feature request to enable searching for multiple document numbers in the document number filter within the data overview section.""",Feature request to enable searching for multiple document numbers in the document number filter within the data overview section.,Grasim Industries Limited,1053666
58,SEM-0095,[IDT] — Reversal & Reclaim Document Level Report,IDT,1,1,0,6575699.0,1,1.0,0.2278,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Grasim Industries Limited). ARR at risk: ₹6,575,699. Open tickets: 1/1. Key themes from customer descriptions: reversal, reclaim, level, customer, wherein, document, available, month. Most representative complaint: ""Customer has faced the issue during GSTR-9 filing, wherein the detaisl of Reversal and Reclaim at document level was not available for them to reconcile the closing balance of Electronic Ledger at GSTN/PAN Level. Customer has requested for Reversal & Reclaim Report at document level, wherein the col...""","Customer has faced the issue during GSTR-9 filing, wherein the detaisl of Reversal and Reclaim at document level was not available for them to reconcile the closing balance of Elec...",Grasim Industries Limited,1079694
59,SEM-0037,[GL Stream] — GL Type Column in GL Stream,GL Stream,1,1,0,6562500.0,1,1.0,0.2277,Medium,,"Requirement area: [GL Stream] General Request. Impact: 1 ticket from 1 customer (RAM RATNA ELECTRICALS LIMITED). ARR at risk: ₹6,562,500. Open tickets: 1/1. Key themes from customer descriptions: customer, expense, entries, requested, type, identification, whether, particular. Most representative complaint: ""Customer has requested for GL type identification i.e. whether a particular GL is expense, revenue, asset or liability. This was earlier available when we showcased the demo but now been removed from the General Ledger View. The purpose to bring this column is that customer want to do recon of Entri...""","Customer has requested for GL type identification i.e. whether a particular GL is expense, revenue, asset or liability. This was earlier available when we showcased the demo but no...",RAM RATNA ELECTRICALS LIMITED,1037231
60,SEM-0005,[IDT] — Data upload GSTR 6,IDT,1,1,0,6300000.0,1,1.0,0.2268,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Zomato Limited). ARR at risk: ₹6,300,000. Open tickets: 1/1. Key themes from customer descriptions: while, uploading, gstr, data, over, portal. Most representative complaint: ""Issue while uploading the GSTR 6 Data over the portal""",Issue while uploading the GSTR 6 Data over the portal,Zomato Limited,1047229
61,SEM-0007,[IDT] — B2C supplies,IDT,1,1,0,6300000.0,1,1.0,0.2268,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Zomato Limited). ARR at risk: ₹6,300,000. Open tickets: 1/1. Key themes from customer descriptions: template, option, consider, b2cs, supplies, through, govt, same. Most representative complaint: ""Option to consider B2Cs supplies through Ct template and Govt template at the same time""",Option to consider B2Cs supplies through Ct template and Govt template at the same time,Zomato Limited,1047207
62,SEM-0022,[IDT] — Pending RCM Liability Statement,IDT,1,1,0,6300000.0,1,1.0,0.2268,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Zomato Limited). ARR at risk: ₹6,300,000. Open tickets: 1/1. Key themes from customer descriptions: statement, there, one, available, over, gstin, network, similar. Most representative complaint: ""There is one statement available over GSTIN network similar to ECRS statement w.r.t. RCM. The customer wants the same statement in the GST tool""",There is one statement available over GSTIN network similar to ECRS statement w.r.t. RCM. The customer wants the same statement in the GST tool,Zomato Limited,1047224
63,SEM-0042,[IDT] — Missing MY GSTIN check,IDT,1,1,0,6300000.0,1,1.0,0.2268,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Zomato Limited). ARR at risk: ₹6,300,000. Open tickets: 1/1. Key themes from customer descriptions: gstin, field, missing, checks, tool, did, flag, any. Most representative complaint: ""Missing Checks in ""MY GSTIN"" field: The CT tool did not flag any error when TCS GSTINs were entered in the ""MY GSTIN"" field for GSTR 1 data ingestion""","Missing Checks in ""MY GSTIN"" field: The CT tool did not flag any error when TCS GSTINs were entered in the ""MY GSTIN"" field for GSTR 1 data ingestion",Zomato Limited,1047208
64,SEM-0057,[IDT] — Bulk Filing option for TCS registration,IDT,1,1,0,6300000.0,1,1.0,0.2268,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Zomato Limited). ARR at risk: ₹6,300,000. Open tickets: 1/1. Key themes from customer descriptions: bulk, filing, option, tcs, return, over, cleartax, tool. Most representative complaint: ""Bulk Filing option for TCS return over Cleartax tool""",Bulk Filing option for TCS return over Cleartax tool,Zomato Limited,1047234
65,SEM-0062,[IDT] — E-invoice reconciliation,IDT,1,1,0,6300000.0,1,1.0,0.2268,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Zomato Limited). ARR at risk: ₹6,300,000. Open tickets: 1/1. Key themes from customer descriptions: data, zomato, wants, run, reconciliation, invoice, rather, then. Most representative complaint: ""Zomato wants to run the reconciliation with the E-invoice data rather then GSTR 1 auto populated data.""",Zomato wants to run the reconciliation with the E-invoice data rather then GSTR 1 auto populated data.,Zomato Limited,1047209
66,SEM-0094,[IDT] — Required some additional details in Cleartax Doc level Sales report,IDT,1,1,0,6200000.0,1,1.0,0.2264,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Jubilant Foodworks Limited). ARR at risk: ₹6,200,000. Open tickets: 1/1. Key themes from customer descriptions: required, column, report, pfb, number, dear, rajesh, some. Most representative complaint: ""Dear Rajesh Ji, We required some additional column in Doc level sales report. PFB details of column required :- 1 2 3 GL Account IRN Number EWay Bill Number 0010400061 48619040ad3e4570fd5ab470c6341e844f8b6905e64ed24768a1f73468008bd9 --- 0010400062 71e7b8ba6542434f6c0c7ff590150369fa039d18b8540124aa14...""","Dear Rajesh Ji, We required some additional column in Doc level sales report. PFB details of column required :- 1 2 3 GL Account IRN Number EWay Bill Number 0010400061 48619040ad3e...",Jubilant Foodworks Limited,1060147
67,SEM-0067,[IDT] — Feature : User has requested that alerts for any ingestion failures...,IDT,1,1,0,5526000.0,1,1.0,0.2241,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Hind Terminals Pvt Ltd). ARR at risk: ₹5,526,000. Open tickets: 1/1. Key themes from customer descriptions: requested, alerts, any, ingestion, failures, triggered, via, email. Most representative complaint: ""User has requested that alerts for any ingestion failures be triggered via email so such issues can be identified promptly.""",User has requested that alerts for any ingestion failures be triggered via email so such issues can be identified promptly.,Hind Terminals Pvt Ltd,1072402
68,SEM-0043,[IDT] — Give GSTR-9 table 6 references in table 4 snapshot report,IDT,1,1,0,5015000.0,1,1.0,0.2222,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (OMNICOM MEDIA GROUP INDIA PRIVATE LIMITED). ARR at risk: ₹5,015,000. Open tickets: 1/1. Key themes from customer descriptions: can, source, gstr, set, then, isn, easy, understand. Most representative complaint: ""If the source of table 6 of GSTR-9 is set as table 4 then it isn't easy to understand as to how the figures are derived and we need to apply multiple filters to check the amounts and underlying data. G9 reference columns can be added in the end and references can be given as to in which column has a...""",If the source of table 6 of GSTR-9 is set as table 4 then it isn't easy to understand as to how the figures are derived and we need to apply multiple filters to check the amounts a...,OMNICOM MEDIA GROUP INDIA PRIVATE LIMITED,1071385
69,SEM-0058,[IDT] — 2B vs PR Recon visiblity,IDT,1,1,0,4841250.0,1,1.0,0.2216,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Royal Sundaram General Insurance Co. Limited). ARR at risk: ₹4,841,250. Open tickets: 1/1. Key themes from customer descriptions: space, viewing, dear, team, recon, mismatch, fields, very. Most representative complaint: ""Dear Team, In 2B vs PR recon, the space of viewing the mismatch fields in the UI is very less, Requesting to increase the space of viewing the data.""","Dear Team, In 2B vs PR recon, the space of viewing the mismatch fields in the UI is very less, Requesting to increase the space of viewing the data.",Royal Sundaram General Insurance Co. Limited,1057975
70,SEM-0019,[IDT] — Feature Request,IDT,1,1,0,4244250.0,1,1.0,0.2195,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Vee Gee Industrial Enterprises Private Limited). ARR at risk: ₹4,244,250. Open tickets: 1/1. Key themes from customer descriptions: client, line, manually, item, limit, reported, they, few. Most representative complaint: ""The client reported that they have a few PR non-e-invoice documents, which are manually generated for price differences, containing more than 6,800 line items. Due to this, the client is unable to ingest the data either through integration or manually, as the current maximum line item limit for inge...""","The client reported that they have a few PR non-e-invoice documents, which are manually generated for price differences, containing more than 6,800 line items. Due to this, the cli...",Vee Gee Industrial Enterprises Private Limited,1067382
71,SEM-0011,"[IDT] — Limit ""Recalculate Payment Recommendation"" to only the selected inv...",IDT,1,1,0,4000000.0,1,1.0,0.2187,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Alkem Laboratories Limited). ARR at risk: ₹4,000,000. Open tickets: 1/1. Key themes from customer descriptions: recalculate, payment, recommendation, when, client, select, specific, vouchers. Most representative complaint: ""When client select specific vouchers and click ""Recalculate Payment Recommendation,"" the tool recalculates for the entire table—including unselected current-period data—rather than just the chosen entries. Ask: Limit ""Recalculate Payment Recommendation"" to only the selected invoices, not the full ta...""","When client select specific vouchers and click ""Recalculate Payment Recommendation,"" the tool recalculates for the entire table—including unselected current-period data—rather than...",Alkem Laboratories Limited,1075764
72,SEM-0024,[IDT] — Bulk error file should show either ingestion error which are only p...,IDT,1,1,0,4000000.0,1,1.0,0.2187,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Alkem Laboratories Limited). ARR at risk: ₹4,000,000. Open tickets: 1/1. Key themes from customer descriptions: once, errors, they, again, ingestion, current, product, behavior. Most representative complaint: ""Current product behavior - Once the errors are corrected, they are moved to the Document section. But in Import History, if any user downloads “Bulk Error report” again, they will see all such ingestion errors again. Alkem’s requirement - Once an user corrects the ingestion error, then Clear should...""","Current product behavior - Once the errors are corrected, they are moved to the Document section. But in Import History, if any user downloads “Bulk Error report” again, they will...",Alkem Laboratories Limited,1079123
73,SEM-0030,[IDT] — DSC signing on auto-generated ISD distribution invoice PDFs,IDT,1,1,0,4000000.0,1,1.0,0.2187,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Alkem Laboratories Limited). ARR at risk: ₹4,000,000. Open tickets: 1/1. Key themes from customer descriptions: client, needs, dsc, signing, isd, invoices, being, auto. Most representative complaint: ""Client needs DSC signing on ISD invoices being auto-generated through Clear.""",Client needs DSC signing on ISD invoices being auto-generated through Clear.,Alkem Laboratories Limited,1058905
74,SEM-0031,[IDT] — Need change in document level rules for Missing and Mismatch vouchers,IDT,1,1,0,4000000.0,1,1.0,0.2187,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Alkem Laboratories Limited). ARR at risk: ₹4,000,000. Open tickets: 1/1. Key themes from customer descriptions: missing, mismatch, due, current, product, behavior, invoices, categories. Most representative complaint: ""Due to the current product behavior, invoices in ""Missing"" or ""Mismatch"" categories get automatically blocked—which is correct but misaligns with Alkem's procedures. If the primary action is set to ""Make Full Payment,"" the team must block these manually, resulting in duplicated effort and ongoing tr...""","Due to the current product behavior, invoices in ""Missing"" or ""Mismatch"" categories get automatically blocked—which is correct but misaligns with Alkem's procedures. If the primary...",Alkem Laboratories Limited,1075763
75,SEM-0055,[IDT] — Rule 37 (180 Day) - Our platform should highlight the cases where p...,IDT,1,1,0,4000000.0,1,1.0,0.2187,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Alkem Laboratories Limited). ARR at risk: ₹4,000,000. Open tickets: 1/1. Key themes from customer descriptions: they, payment, case, alkem, labs, elt, integrated, want. Most representative complaint: ""This is the case of Alkem labs (ELT Integrated). They want Clear to Pull payment date from ERP and highlight the user for cases where ITC has been claimed and now they need to reverse the same. Later on, when payment is done, our systems highlights them to reavail.""",This is the case of Alkem labs (ELT Integrated). They want Clear to Pull payment date from ERP and highlight the user for cases where ITC has been claimed and now they need to reve...,Alkem Laboratories Limited,1079106
76,SEM-0076,[IDT] — Filing tracker report to be auto-sent to tax head over e-mail after...,IDT,1,1,0,4000000.0,1,1.0,0.2187,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Alkem Laboratories Limited). ARR at risk: ₹4,000,000. Open tickets: 1/1. Key themes from customer descriptions: filing, tracker, report, auto, sent, over, email, tax. Most representative complaint: ""Filing tracker report to be auto-sent over email to tax head on T+1 basis to ensure adherence to statutory timelines""",Filing tracker report to be auto-sent over email to tax head on T+1 basis to ensure adherence to statutory timelines,Alkem Laboratories Limited,1058952
77,SEM-0078,[IDT] — FR: Need error message as per the validations,IDT,1,1,0,3625000.0,1,1.0,0.2173,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (ASSOCIATED BROADCASTING COMPANY PRIVATE LIMITED). ARR at risk: ₹3,625,000. Open tickets: 1/1. Key themes from customer descriptions: negative, during, data, validation, check, filing, gstr, while. Most representative complaint: ""During the filing of GSTR-6, while uploading data to GSTN, a 'JSON Structure Validation' error causes the upload to fail. Negative values are not present in the Document View but appear at the line-item level, forcing us to go to the Data Overview to check the invoices. During the validation check,...""","During the filing of GSTR-6, while uploading data to GSTN, a 'JSON Structure Validation' error causes the upload to fail. Negative values are not present in the Document View but a...",ASSOCIATED BROADCASTING COMPANY PRIVATE LIMITED,1066028
78,SEM-0012,[DT] — 26AS recon manual linking feature,DT,1,1,0,3472000.0,1,1.0,0.2168,Medium,,"Requirement area: [DT] General Request. Impact: 1 ticket from 1 customer (CHAKIAT AGENCIES PRIVATE LIMITED). ARR at risk: ₹3,472,000. Open tickets: 1/1. Key themes from customer descriptions: missing, linking, dear, team, recon, manual, feature, required. Most representative complaint: ""Dear team, In 26 AS recon, the manual linking feature is required specifically for missing docs (linking a missing document in 26AS with a missing TRL).""","Dear team, In 26 AS recon, the manual linking feature is required specifically for missing docs (linking a missing document in 26AS with a missing TRL).",CHAKIAT AGENCIES PRIVATE LIMITED,1056355
79,SEM-0013,[IDT] — Ingestion of ISD Documents via Clear Purchase Template,IDT,1,1,0,3422030.0,1,1.0,0.2166,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (AGILENT TECHNOLOGIES INDIA PRIVATE LIMITED). ARR at risk: ₹3,422,030. Open tickets: 1/1. Key themes from customer descriptions: documents, ingestion, isd, via, clear, purchase, template, while. Most representative complaint: ""Ingestion of ISD Documents via Clear Purchase Template While ingesting the data, those documents got stuck in error""","Ingestion of ISD Documents via Clear Purchase Template While ingesting the data, those documents got stuck in error",AGILENT TECHNOLOGIES INDIA PRIVATE LIMITED,1074414
80,SEM-0041,[IDT] — Remove the Group id and group remarks feature in 2A vs PR Recon,IDT,1,1,0,3240000.0,1,1.0,0.216,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (VISHAL MEGA MART PRIVATE LIMITED). ARR at risk: ₹3,240,000. Open tickets: 1/1. Key themes from customer descriptions: group, remarks, feature, recon, remove, basis, provided, product. Most representative complaint: ""Remove the Group id and group remarks feature in 2A vs PR Recon,. Basis remarks provided by the product team - Group Id and Group Remark columns should be removed, as we do not have that feature in 2A recon. Please reach out to Karthikeyan Sivaji for additional inputs.""","Remove the Group id and group remarks feature in 2A vs PR Recon,. Basis remarks provided by the product team - Group Id and Group Remark columns should be removed, as we do not hav...",VISHAL MEGA MART PRIVATE LIMITED,1079012
81,SEM-0064,[IDT] — removal of g1/G3B filing status in 2A vs PR Recon on standalone poi...,IDT,1,1,0,3240000.0,1,1.0,0.216,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (VISHAL MEGA MART PRIVATE LIMITED). ARR at risk: ₹3,240,000. Open tickets: 1/1. Key themes from customer descriptions: removal, g3b, filing, status, recon, standalone, point, products. Most representative complaint: ""Removal of g1/G3B filing status in 2A vs PR Recon on standalone point products.""",Removal of g1/G3B filing status in 2A vs PR Recon on standalone point products.,VISHAL MEGA MART PRIVATE LIMITED,1079014
82,SEM-0069,[IDT] — Auto Linking of Invoice and CDN in 2B vs PR Reconciliation,IDT,1,1,0,3240000.0,1,1.0,0.216,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (VISHAL MEGA MART PRIVATE LIMITED). ARR at risk: ₹3,240,000. Open tickets: 1/1. Key themes from customer descriptions: itc, status, credit, notes, available, gstr, books, shows. Most representative complaint: ""Please find the client's comments wrt to the said concern: Additional Steps or methods to be taken for reconciling the Credit Notes available in the GSTR-2A Report but not available in Books ITC. The Tool Outrightly shows the Status of Credit Notes as ""Missing in PR"" and for the books ITC and GSTR-2...""",Please find the client's comments wrt to the said concern: Additional Steps or methods to be taken for reconciling the Credit Notes available in the GSTR-2A Report but not availabl...,VISHAL MEGA MART PRIVATE LIMITED,1063022
